mp_id,formula,bandgap_eV,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-604429,NaFe3H6(SO7)2,1.882,26,3.0313,10.212,166,Trigonal,5
mp-10383,LaTeAs,0.1267,12,6.543,28.8833,62,Orthorhombic,3
mp-1029835,RbMnN2,0.0496,64,4.2719,16.3668,227,Cubic,3
mp-1200900,Ho(NO3)3,3.2838,52,3.5249,12.7175,14,Monoclinic,3
mp-1198458,Rb2ScSi4O10F,5.0158,72,3.0714,15.2352,11,Monoclinic,5
mp-573812,Cs3As11,1.4052,56,4.0057,36.209,15,Monoclinic,2
mp-1219636,Rb4Mn(AsS4)2,1.0821,30,3.0367,29.2798,2,Triclinic,4
mp-570755,KTaN2,2.7614,64,5.612,18.3496,61,Orthorhombic,3
mp-557108,Ba2Nb2TeO10,3.0541,60,5.2653,15.728,61,Orthorhombic,4
mp-542264,BaNaCe2C4O12F,0.2496,42,4.3653,12.6724,194,Hexagonal,6
mp-1519241,BaCaLaBiO6,1.9504,40,6.4425,16.0136,48,Orthorhombic,5
mp-20289,NaInS2,1.8377,4,4.0093,20.909,166,Trigonal,3
mp-558500,K2Ag2GeS4,1.688,18,3.5237,25.9096,70,Orthorhombic,4
mp-1213004,Er3RuI3,0.0495,14,7.3694,31.6607,11,Monoclinic,3
mp-542724,LaNbO4,3.8042,12,5.8356,14.0289,15,Monoclinic,3
mp-1202384,UH4(NO5)2,2.2049,68,3.318,12.6607,14,Monoclinic,4
mp-557981,KCoPO4,0.7395,168,3.0245,15.1377,173,Hexagonal,4
mp-556808,RbNb(BO3)2,3.4532,100,3.3552,14.6493,7,Monoclinic,4
mp-29808,Ca4GeN4,1.409,36,3.4399,15.4996,14,Monoclinic,3
mp-18729,V2Co(PO5)2,0.0835,30,3.5774,11.8446,14,Monoclinic,4
mp-867580,Li2Cr5(Si2O7)2,2.6538,50,3.3805,11.9893,2,Triclinic,4
mp-706976,PH4N(OF)2,5.1708,40,1.8375,10.7545,62,Orthorhombic,5
mp-1201047,Dy4BClO7,4.7369,52,7.2045,14.3302,14,Monoclinic,4
mp-643277,SiH6(NF2)2,6.6965,26,1.8006,9.7995,14,Monoclinic,4
mp-1217380,ThV2PbO8,2.4325,12,5.9482,15.5663,119,Tetragonal,4
mp-1020896,Rb4Ge3B6O17,3.8556,60,3.479,14.2658,9,Monoclinic,4
mp-23748,MgBHO3,5.5459,48,2.6568,8.7629,14,Monoclinic,4
mp-1194889,MgAu2(SO4)4,1.7625,46,4.0072,14.4582,43,Orthorhombic,4
mp-541696,Cs2TlCl5,1.809,32,4.0236,33.4011,62,Orthorhombic,3
mp-616175,EuSO4,1.0685,24,5.3863,12.7441,62,Orthorhombic,3
mp-572921,Cs2Ga3As5O18,2.4875,56,4.1471,16.2676,15,Monoclinic,4
mp-23403,SbIF5,0.5646,112,3.8536,21.1549,14,Monoclinic,3
mp-4608,KPF6,7.0368,8,2.9922,12.7681,148,Trigonal,3
